Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[genomic measurement]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[genomic measurement]
Sample 34	ERS4268109	SAMEA6503662	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 34	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 34	sequencing assay	ERX3854245	MSQ-34_S34_L001_R1_001.fastq.gz	MSQ-34_S34_L001_R1_001.fastq.gz	ERR3841683	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/003/ERR3841683/ERR3841683.fastq.gz	    
Sample 35	ERS4268110	SAMEA6503663	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 35	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 35	sequencing assay	ERX3854246	MSQ-35_S35_L001_R1_001.fastq.gz	MSQ-35_S35_L001_R1_001.fastq.gz	ERR3841684	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/004/ERR3841684/ERR3841684.fastq.gz	    
Sample 36	ERS4268111	SAMEA6503664	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 36	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 36	sequencing assay	ERX3854247	MSQ-36_S36_L001_R1_001.fastq.gz	MSQ-36_S36_L001_R1_001.fastq.gz	ERR3841685	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/005/ERR3841685/ERR3841685.fastq.gz	    
Sample 37	ERS4268112	SAMEA6503665	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 37	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 37	sequencing assay	ERX3854248	MSQ-37_S37_L001_R1_001.fastq.gz	MSQ-37_S37_L001_R1_001.fastq.gz	ERR3841686	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/006/ERR3841686/ERR3841686.fastq.gz	    
Sample 38	ERS4268113	SAMEA6503666	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 38	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 38	sequencing assay	ERX3854249	MSQ-38_S38_L001_R1_001.fastq.gz	MSQ-38_S38_L001_R1_001.fastq.gz	ERR3841687	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/007/ERR3841687/ERR3841687.fastq.gz	    
Sample 39	ERS4268114	SAMEA6503667	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 39	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 39	sequencing assay	ERX3854250	MSQ-39_S39_L001_R1_001.fastq.gz	MSQ-39_S39_L001_R1_001.fastq.gz	ERR3841688	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/008/ERR3841688/ERR3841688.fastq.gz	    
Sample 4	ERS4268115	SAMEA6503669	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 4	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 4	sequencing assay	ERX3854251	MSQ-04_S4_L001_R1_001.fastq.gz	MSQ-04_S4_L001_R1_001.fastq.gz	ERR3841689	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/009/ERR3841689/ERR3841689.fastq.gz	    
Sample 40	ERS4268116	SAMEA6503670	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 40	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 40	sequencing assay	ERX3854252	MSQ-40_S40_L001_R1_001.fastq.gz	MSQ-40_S40_L001_R1_001.fastq.gz	ERR3841690	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/000/ERR3841690/ERR3841690.fastq.gz	    
Sample 41	ERS4268117	SAMEA6503671	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 41	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 41	sequencing assay	ERX3854253	MSQ-41_S41_L001_R1_001.fastq.gz	MSQ-41_S41_L001_R1_001.fastq.gz	ERR3841691	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/001/ERR3841691/ERR3841691.fastq.gz	    
Sample 42	ERS4268118	SAMEA6503672	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 42	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 42	sequencing assay	ERX3854254	MSQ-42_S42_L001_R1_001.fastq.gz	MSQ-42_S42_L001_R1_001.fastq.gz	ERR3841692	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/002/ERR3841692/ERR3841692.fastq.gz	    
Sample 43	ERS4268119	SAMEA6503673	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 43	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 43	sequencing assay	ERX3854255	MSQ-43_S43_L001_R1_001.fastq.gz	MSQ-43_S43_L001_R1_001.fastq.gz	ERR3841693	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/003/ERR3841693/ERR3841693.fastq.gz	    
Sample 44	ERS4268120	SAMEA6503674	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 44	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 44	sequencing assay	ERX3854256	MSQ-44_S44_L001_R1_001.fastq.gz	MSQ-44_S44_L001_R1_001.fastq.gz	ERR3841694	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/004/ERR3841694/ERR3841694.fastq.gz	    
Sample 45	ERS4268121	SAMEA6503675	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 45	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 45	sequencing assay	ERX3854257	MSQ-45_S45_L001_R1_001.fastq.gz	MSQ-45_S45_L001_R1_001.fastq.gz	ERR3841695	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/005/ERR3841695/ERR3841695.fastq.gz	    
Sample 46	ERS4268122	SAMEA6503676	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 46	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 46	sequencing assay	ERX3854258	MSQ-46_S46_L001_R1_001.fastq.gz	MSQ-46_S46_L001_R1_001.fastq.gz	ERR3841696	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/006/ERR3841696/ERR3841696.fastq.gz	    
Sample 47	ERS4268123	SAMEA6503677	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 47	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 47	sequencing assay	ERX3854259	MSQ-47_S47_L001_R1_001.fastq.gz	MSQ-47_S47_L001_R1_001.fastq.gz	ERR3841697	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/007/ERR3841697/ERR3841697.fastq.gz	    
Sample 48	ERS4268124	SAMEA6503678	Escherichia coli str. K-12 substr. MG1655	  	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 48	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 48	sequencing assay	ERX3854260	MSQ-48_S48_L001_R1_001.fastq.gz	MSQ-48_S48_L001_R1_001.fastq.gz	ERR3841698	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/008/ERR3841698/ERR3841698.fastq.gz	    
Sample 49	ERS4268125	SAMEA6503679	Escherichia coli str. K-12 substr. MG1655	genetic variation	DNA	P-MTAB-93260	MEMO group Ghent University	P-MTAB-93261	MEMO group Ghent University	P-MTAB-93262	MEMO group Ghent University	Sample 49	SINGLE	PCR	SYNTHETIC	first strand	OTHER	P-MTAB-93263	NXTGNT	Sample 49	sequencing assay	ERX3854261	MSQ-49_S49_L001_R1_001.fastq.gz	MSQ-49_S49_L001_R1_001.fastq.gz	ERR3841699	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR384/009/ERR3841699/ERR3841699.fastq.gz	genetic variation
